x_axis,y_axis,z_axis
2891,-583,-52.137
2890,-493,-51.796
2880,-560,-57.122
2921,-475,-44.234
2941,-520,-43.539
2971,-477,-41.805
2913,-259,-45.838
2915,-311,-45.588
2999,-249,-42.737
2960,-343,-42.426
2976,-332,-42.914
2952,-264,-42.462
2933,-83,-42.833
2864,-30,-67.18
2875,-72,-61.124
2908,-92,-45.34
3000,-166,-42.449
2993,-100,-43.755
2942,145,-40.206
2995,11,-43.072
2895,58,-52.01
2973,86,-41.935
2921,126,-41.925
2867,104,-63.407
2961,395,-41.145
2990,397,-41.725
2918,363,-42.978
2881,286,-56.973
2991,325,-39.779
2939,221,-40.455
2985,437,-43.139
2957,536,-43.96
2943,527,-44.192
2978,459,-43.317
2917,482,-45.552
2948,422,-41.944
2900,608,-50.125
2942,686,-43.548
2918,615,-45.88
2946,652,-43.41
2884,735,-56.213
2861,612,-67.928
2898,917,-50.459
2998,987,-44.796
2974,860,-43.192
2876,959,-61.11
2873,825,-61.926
2917,957,-45.604
3056,-836,-41.511
3082,-855,-40.903
3141,-825,-40.553
3051,-946,-41.597
3037,-962,-41.815
3133,-841,-40.711
3081,-610,-40.431
3123,-645,-40.577
3067,-635,-40.247
3099,-747,-40.904
3062,-709,-40.974
3045,-605,-40.253
3103,-549,-42.413
3081,-535,-43.282
3083,-561,-42.065
3065,-443,-42.055
3139,-530,-43.164
3109,-513,-43.214
3032,-307,-42.237
3012,-305,-42.474
3036,-362,-42.596
3098,-242,-43.372
3124,-229,-44.444
3114,-298,-42.722
3118,-158,-44.349
3072,-189,-44.223
3048,-152,-43.678
3083,-137,-44.819
3122,-113,-44.046
3144,-15,-42.172
3086,105,-41.318
3084,149,-42.229
3125,98,-41.365
3080,120,-41.315
3012,77,-41.485
3118,71,-40.88
3132,339,-42.562
3010,272,-40.879
3064,375,-42.554
3124,210,-42.47
3150,229,-43.08
3145,213,-42.802
3139,448,-43.168
3109,423,-42.292
3041,413,-42.711
3104,506,-42.495
3141,562,-42.849
3036,460,-41.974
3016,620,-43.138
3127,644,-43.86
3049,617,-43.193
3031,790,-42.131
3079,756,-42.757
3145,633,-43.57
3076,837,-42.874
3111,996,-44.44
3056,863,-43.215
3061,825,-42.56
3016,926,-44.181
3122,896,-44.091
3174,-889,-40.201
3225,-940,-42.291
3223,-877,-40.787
3240,-992,-41.456
3252,-952,-43.105
3269,-964,-42.841
3238,-692,-41.027
3181,-789,-41.109
3164,-614,-40.219
3164,-783,-40.562
3287,-786,-40.674
3175,-754,-40.599
3254,-401,-42.764
3192,-407,-41.359
3218,-553,-41.446
3165,-494,-42.622
3175,-586,-41.824
3206,-422,-41.561
3188,-323,-41.33
3173,-211,-43.402
3233,-244,-41.794
3296,-301,-42.795
3197,-368,-40.943
3191,-222,-43.188
3218,-186,-41.852
3192,-182,-42.425
3220,-107,-42.157
3200,-165,-41.616
3193,-12,-42.309
3171,-115,-42.192
3169,130,-41.395
3211,199,-42.37
3254,77,-41.951
3161,24,-42.029
3201,118,-41.301
3258,31,-42.113
3204,246,-43.056
3225,284,-44.519
3260,372,-42.235
3247,335,-42.644
3215,348,-41.964
3277,379,-42.199
3230,428,-41.064
3162,430,-42.262
3265,420,-41.287
3265,444,-40.728
3248,545,-42.154
3252,430,-41.078
3260,690,-40.926
3294,651,-42.005
3247,744,-42.214
3236,617,-42.349
3246,699,-41.261
3223,772,-43.019
3284,981,-42.728
3169,950,-44.844
3182,986,-44.089
3187,965,-44.551
3269,990,-42.889
3232,951,-44.005
3373,-931,-41.951
3382,-898,-41.994
3437,-980,-40.65
3393,-834,-41.292
3386,-954,-41.115
3336,-931,-43.111
3336,-650,-42.058
3402,-755,-41.131
3350,-672,-41.127
3382,-690,-40.603
3370,-632,-42.739
3436,-741,-41.461
3324,-590,-42.464
3338,-518,-42.281
3398,-482,-41.945
3388,-586,-41.703
3402,-458,-41.668
3405,-428,-42.222
3405,-254,-42.675
3429,-344,-42.78
3369,-307,-43.288
3435,-321,-42.35
3423,-293,-42.394
3400,-298,-42.189
3318,-57,-41.65
3374,-146,-40.7
3342,-134,-40.948
3315,-91,-42.12
3410,-170,-41.461
3415,-119,-42.117
3441,172,-44.43
3364,53,-43.172
3347,83,-43.02
